word,sentiment,n
potentiel,positive,1
poursuite,negative,1
poursuivre,negative,1
pousser,negative,1
primordial,positive,1
probabilité,positive,1
production,positive,1
productivité,positive,1
programme,positive,1
programmer,positive,1
progresser,positive,1
progressivement,positive,1
projeter,positive,1
prolonger,positive,1
protocole,positive,1
précaire,negative,1
précision,positive,1
précoce,negative,1
préférence,positive,1
préférer,positive,1
présenter,positive,1
prétexte,negative,1
prévention,positive,1
prévoir,positive,1
purement,positive,1
quarantaine,negative,1
raisonnablement,positive,1
rampe,positive,1
rappel,positive,1
rappeler,positive,1
rassurant,positive,1
rassurer,positive,1
redondant,negative,1
refaire,positive,1
relais,positive,1
relatif,positive,1
relaxation,positive,1
religion,positive,1
remettre,positive,1
remplir,positive,1
remplissage,positive,1
renforcer,positive,1
rentrer,positive,1
renvoyer,negative,1
repartir,positive,1
représenter,positive,1
responsable,positive,1
retard,negative,1
revenir,positive,1
risquer,negative,1
roche,positive,1
rouge,negative,1
rude,negative,1
réactif,positive,1
réaction,positive,1
réagir,negative,1
réalisable,positive,1
réalité,positive,1
rédiger,positive,1
réflexe,positive,1
réformer,positive,1
réglementaire,positive,1
réglementation,positive,1
régularisation,positive,1
régulier,positive,1
rémunération,positive,1
rénover,positive,1
réorganiser,positive,1
résident,positive,1
résilience,positive,1
résultat,positive,1
réversion,negative,1
sacrer,positive,1
saint,positive,1
sang,negative,1
sauver,positive,1
science,positive,1
secondairement,negative,1
secret,negative,1
sensiblement,positive,1
sepsis,negative,1
sexe,positive,1
silencieux,negative,1
similaire,positive,1
solidarité,positive,1
solliciter,positive,1
somatique,negative,1
sonore,negative,1
sorte,positive,1
sou,positive,1
souci,negative,1
souffler,negative,1
souplesse,positive,1
source,positive,1
sourire,positive,1
souris,negative,1
spécialement,positive,1
stagnant,negative,1
stagner,negative,1
standard,positive,1
statutaire,positive,1
stockage,positive,1
stratification,positive,1
stérile,negative,1
substance,positive,1
subtil,positive,1
suicidaire,negative,1
suicide,negative,1
sujet,negative,1
superviser,positive,1
supervision,negative,1
supplémentaire,positive,1
supporter,negative,1
suppression,negative,1
supériorité,positive,1
surcharger,negative,1
surface,positive,1
symbole,positive,1
symptôme,negative,1
synergie,positive,1
systématiquement,positive,1
séjour,positive,1
tableau,positive,1
tablette,positive,1
tampon,positive,1
tas,positive,1
taxi,positive,1
technicien,positive,1
technologie,positive,1
température,positive,1
tendance,positive,1
tentative,positive,1
thèse,positive,1
toilette,negative,1
tolérance,positive,1
tombe,negative,1
tomber,negative,1
totalement,positive,1
touchant,positive,1
toxique,negative,1
transférer,positive,1
transmission,positive,1
transport,positive,1
transversale,negative,1
triste,negative,1
truc,negative,1
typiquement,positive,1
ultérieurement,negative,1
uniformiser,positive,1
universitaire,positive,1
usant,negative,1
usine,negative,1
utile,positive,1
utilité,positive,1
vache,positive,1
vaisselle,positive,1
valse,positive,1
variable,negative,1
vasculaire,positive,1
vecteur,positive,1
ventre,positive,1
victime,negative,1
vieillir,negative,1
vieillissement,negative,1
vigueur,positive,1
violence,negative,1
visiteur,positive,1
visuel,positive,1
voie,positive,1
voix,positive,1
volant,positive,1
volontariat,positive,1
vomir,negative,1
vote,positive,1
voter,positive,1
vouloir,negative,1
voûte,positive,1
véritable,positive,1
âgé,negative,1
éclectique,positive,1
éliminer,negative,1
émotionnel,positive,1
épreuve,negative,1
équitable,positive,1
équitablement,positive,1
établir,positive,1
étape,positive,1
éthique,positive,1
étoile,positive,1
étroit,negative,1
étudiant,positive,1
évaluer,positive,1
